,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,p_pv_rhs_SA_RHSUP,p_pv_rhs,p_pv_rhs_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
22,15,0.700,1633.046,341.460,363.484,12.027,16.023,0.820,47.772,47.000,54.220,0.950,11.400,1066.098,1721.973,0.000,2041.942,-153.453,0.522,0.000,1412.018,882.015,-570.987,0.000,2.940,582.015,7.775,5.697,8.059,49.356,47.000,200.000,1721.973,1721.973,1412.018,1412.018,0.000,0.000,799.293,0.000,-153.453,-153.453,363.484,363.484,882.015,882.015,47.772,47.772,47.000,47.000,54.220,54.220,0.000,0.000,0.000,5549.528,4665.546,3253.528,inf,4530.000,2488.058,2405.425,363.484,0.000,2517.028,221.028,inf,-1811.942,2
23,16,0.000,1684.763,335.391,123.898,12.027,16.023,0.820,48.247,47.000,55.965,0.950,11.700,1669.181,2790.951,0.000,3197.052,0.000,0.522,0.000,2288.580,879.829,-1393.646,0.000,2.933,579.829,7.715,5.644,7.998,52.180,47.000,55.965,2790.951,2790.951,2288.580,2288.580,0.000,0.000,799.293,0.000,0.000,0.000,123.898,123.898,879.829,879.829,48.247,48.247,47.000,47.000,55.965,55.965,0.000,0.000,0.000,4724.683,4717.263,2428.683,inf,4530.000,1332.948,3320.951,123.898,0.000,1692.183,-603.817,inf,-2967.052,2
24,16,0.500,1284.763,235.391,123.898,12.027,16.023,0.820,50.213,47.000,55.965,0.950,12.200,1380.232,2537.515,0.000,2643.617,0.000,0.522,0.000,2080.763,0.000,-706.000,0.000,2.976,0.000,8.076,8.076,8.076,52.180,47.000,55.965,2537.515,2537.515,2080.763,2080.763,0.000,0.000,799.293,0.000,0.000,0.000,123.898,123.898,0.000,0.000,50.213,50.213,47.000,47.000,55.965,55.965,0.000,0.000,0.000,4532.500,4317.263,2236.500,inf,4230.000,1586.383,2767.515,123.898,0.000,1500.000,-796.000,inf,-2413.617,2
25,17,0.000,1299.595,229.898,6.143,12.027,16.023,0.820,51.197,47.000,55.965,0.950,12.200,1657.915,2800.000,0.000,3175.474,-151.616,0.522,0.000,2296.000,0.000,-906.405,0.000,2.970,0.000,8.021,8.021,8.021,53.733,47.000,200.000,2800.000,2800.000,2296.000,2296.000,0.000,0.000,443.418,0.000,-151.616,-151.616,6.143,6.143,0.000,0.000,51.197,51.197,47.000,47.000,55.965,55.965,0.000,0.000,0.000,4350.419,4332.095,3888.677,inf,4230.000,1054.526,3181.616,6.143,0.000,1317.919,856.177,inf,-2945.474,2
26,18,0.000,1970.766,235.996,0.000,12.027,16.023,0.820,53.733,47.000,61.639,0.950,12.200,893.951,224.357,600.000,0.000,-145.643,0.844,799.293,183.973,0.000,1077.500,49.886,2.964,0.000,7.972,7.972,7.972,50.597,47.000,200.000,224.357,224.357,183.973,183.973,600.000,600.000,799.293,799.293,-145.643,-145.643,0.000,0.000,0.000,0.000,53.733,53.733,47.000,47.000,61.639,61.639,49.886,49.886,49.886,5003.266,5003.266,4999.315,4230.000,4230.000,4225.182,4.818,0.000,0.000,1970.766,1966.815,230.000,225.182,2
27,19,0.000,1839.533,241.056,0.000,12.027,16.023,0.820,50.597,47.000,66.867,0.950,12.200,1069.605,610.620,600.000,208.145,32.475,0.844,799.293,500.708,0.000,629.531,49.886,2.968,0.000,8.005,8.005,8.005,48.742,47.000,32.683,610.620,610.620,500.708,500.708,600.000,600.000,799.293,799.293,32.475,32.475,0.000,0.000,0.000,0.000,50.597,50.597,47.000,47.000,66.867,66.867,49.886,49.886,49.886,6667.325,4872.033,4701.354,inf,4230.000,4021.855,208.145,0.000,0.000,3634.825,1668.854,inf,21.855,2
28,20,0.000,1931.826,243.218,0.000,12.027,16.023,0.820,48.742,47.000,67.143,0.950,12.200,893.951,37.016,600.000,0.000,-32.984,0.844,799.293,30.353,887.254,304.926,49.886,2.958,587.254,7.920,5.823,8.206,47.816,47.000,98.478,37.016,37.016,30.353,30.353,600.000,600.000,799.293,799.293,-32.984,-32.984,0.000,0.000,887.254,887.254,48.742,48.742,47.000,47.000,67.143,67.143,49.886,49.886,49.886,4964.326,4964.326,4928.815,4530.000,4530.000,4486.694,43.306,0.000,0.000,1931.826,1896.315,230.000,186.694,2
29,20,0.300,1931.826,240.220,0.000,0.001,0.001,0.820,48.464,47.000,67.221,0.950,12.500,1297.273,1071.096,0.000,1537.236,63.860,0.844,0.000,878.299,887.254,256.274,0.000,2.958,587.254,7.920,5.823,8.206,47.677,47.000,0.000,1071.096,1071.096,878.299,878.299,0.000,0.000,600.000,0.000,63.860,63.860,0.000,0.000,887.254,887.254,48.464,48.464,47.000,47.000,67.221,67.221,0.000,0.000,0.000,6382.028,4964.326,4086.028,inf,4530.000,2992.764,1537.236,0.000,0.000,3349.528,1053.528,inf,-1307.236,2
30,21,0.000,1809.257,240.220,0.000,12.027,16.023,0.820,47.913,47.000,67.960,0.950,13.200,897.089,73.718,600.000,3.718,0.000,0.844,799.293,60.449,879.706,159.809,49.886,2.932,579.706,7.712,5.641,7.994,47.400,47.000,67.960,73.718,73.718,60.449,60.449,600.000,600.000,799.293,799.293,0.000,0.000,0.000,0.000,879.706,879.706,47.913,47.913,47.000,47.000,67.960,67.960,49.886,49.886,49.886,7077.308,4841.757,4838.708,inf,4530.000,4526.282,3.718,0.000,0.000,4044.808,1806.208,inf,226.282,2
31,22,0.000,1919.656,245.379,0.000,12.027,16.023,0.820,47.400,47.000,67.960,0.950,14.200,1052.427,322.352,600.000,187.790,64.562,0.844,799.293,264.329,876.017,70.018,49.886,2.920,576.017,7.610,5.553,7.891,47.143,47.000,0.000,322.352,322.352,264.329,264.329,600.000,600.000,799.293,799.293,64.562,64.562,0.000,0.000,876.017,876.017,47.400,47.400,47.000,47.000,67.960,67.960,49.886,49.886,49.886,6983.827,4952.156,4798.168,inf,4530.000,4342.210,187.790,0.000,0.000,3951.327,1765.668,inf,42.210,2
32,23,0.000,1913.939,287.479,0.000,12.027,16.023,0.820,47.143,47.000,69.040,0.950,15.200,524.324,2413.281,0.000,2617.693,65.588,0.200,0.000,1978.890,0.000,25.049,0.000,2.955,0.000,7.899,7.899,7.899,47.014,47.000,0.000,2413.281,2413.281,1978.890,1978.890,0.000,0.000,799.293,0.000,65.588,65.588,0.000,0.000,0.000,0.000,47.143,47.143,47.000,47.000,69.040,69.040,0.000,0.000,0.000,5263.549,4946.439,2967.549,inf,4270.000,1652.307,2617.693,0.000,0.000,2231.049,-64.951,inf,-2347.693,2
