,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,p_pv_rhs_SA_RHSUP,p_pv_rhs,p_pv_rhs_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
20,15,0,1633.046,341.46,363.484,12.027,16.023,0.82,47.073,47,200,0.95,10,672.463,1010.02,0,1287.996,0,0.522,0,828.216,882.015,12.814,0,2.94,582.015,7.775,5.697,8.059,46.989,47,200,1010.02,1010.02,828.216,828.216,0,0,653.747,0,0,0,363.484,363.484,882.015,882.015,47.073,47.073,47,47,200,200,0,0,0,6133.33,4665.546,3837.33,inf,4641.46,3353.464,1651.48,363.484,0,3100.83,804.83,inf,-946.536,2
21,15,0.2,1633.046,341.46,363.484,12.027,16.023,0.6,47.056,47,200,0.95,10.2,769.526,238.512,516.488,0,0,0.522,688.043,143.107,882.015,9.881,42.942,2.94,582.015,7.775,5.697,8.059,46.981,47,200,238.512,238.512,143.107,143.107,516.488,516.488,688.043,688.043,0,0,363.484,363.484,882.015,882.015,47.056,47.056,47,47,200,200,42.942,42.942,42.942,4826.903,4665.546,4204.704,4910.389,4641.46,2978.234,2026.71,363.484,94.555,1794.403,1172.204,610.389,-1321.766,2
22,15,0.7,1633.046,341.46,363.484,12.027,16.023,0.82,47.019,47,200,0.95,10.7,678.533,1021.646,0,1299.622,0,0.522,0,837.749,882.015,3.281,0,2.94,582.015,7.775,5.697,8.059,46.962,47,200,1021.646,1021.646,837.749,837.749,0,0,659.648,0,0,0,363.484,363.484,882.015,882.015,47.019,47.019,47,47,200,200,0,0,0,6123.796,4665.546,3827.796,inf,4641.46,3341.838,1663.106,363.484,0,3091.296,795.296,inf,-958.162,2
23,16,0,1684.763,335.391,123.898,12.027,16.023,0.82,47.002,47,200,0.95,11,1728.93,2800,0,3311.492,0,0.522,0,2296,879.829,-1401.066,0,2.933,579.829,7.715,5.644,7.998,50.957,47,200,2800,2800,2296,2296,0,0,388.265,0,0,0,123.898,123.898,879.829,879.829,47.002,47.002,47,47,200,200,0,0,0,4821.892,4717.263,4328.998,inf,4635.391,1323.898,3435.391,123.898,0,1789.392,1296.498,inf,-2976.102,2
24,16,0.5,1284.763,235.391,123.898,12.027,16.023,0.82,48.979,47,200,0.95,11.5,1228.94,1942.348,0,2353.84,0,0.522,0,1592.725,879.829,-1097.792,0,2.933,579.829,7.715,5.644,7.998,52.066,47,200,1942.348,1942.348,1592.725,1592.725,0,0,799.293,0,0,0,123.898,123.898,879.829,879.829,48.979,48.979,47,47,200,200,0,0,0,5020.537,4317.263,2724.537,inf,4535.391,2181.551,2477.739,123.898,0,1988.037,-307.963,inf,-2118.449,2
25,17,0,1299.595,229.898,6.143,12.027,16.023,0.82,50.523,47,200,0.95,12,1608.757,2557.564,0,3081.319,0,0.522,0,2097.203,877.89,-1585.498,0,2.926,577.89,7.662,5.598,7.943,55,47,200,2557.564,2557.564,2097.203,2097.203,0,0,799.293,0,0,0,6.143,6.143,877.89,877.89,50.523,50.523,47,47,200,200,0,0,0,4530.892,4332.095,2234.892,inf,4529.898,1448.578,3087.462,6.143,0,1498.392,-797.608,inf,-2851.422,2
26,18,0,1970.766,235.996,0,12.027,16.023,0.82,55,47,200,0.95,13,699.036,233.181,469.177,0,0,0.844,625.017,191.208,0,1244.541,39.009,2.964,0,7.972,7.972,7.972,51.386,47,200,233.181,233.181,191.208,191.208,469.177,469.177,625.017,625.017,0,0,0,0,0,0,55,55,47,47,200,200,39.009,39.009,39.009,5284.817,5003.266,4501.425,4579.352,4235.996,3004.604,1231.392,0,0,2252.317,1468.925,579.352,-995.396,1
27,19,0,1839.533,241.056,0,12.027,16.023,0.82,51.386,47,200,0.95,13,893.951,442.329,600,0,83.386,0.844,799.293,362.71,0,767.53,49.886,2.968,0,8.005,8.005,8.005,49.136,47,112.225,442.329,442.329,362.71,362.71,600,600,799.293,799.293,83.386,83.386,0,0,0,0,51.386,51.386,47,47,200,200,49.886,49.886,49.886,4913.304,4872.033,4824.881,4291.387,4241.056,4183.553,57.503,0,0,1880.804,1792.381,291.387,183.553,1
28,20,0,1931.826,243.218,0,12.027,16.023,0.82,49.136,47,112.225,0.95,13,836.977,15.139,561.76,0,-3.403,0.844,748.352,12.414,887.254,373.807,46.706,2.958,587.254,7.92,5.823,8.206,48.012,47,115.458,15.139,15.139,12.414,12.414,561.76,561.76,748.352,748.352,-3.403,-3.403,0,0,887.254,887.254,49.136,49.136,47,47,112.225,112.225,46.706,46.706,46.706,5046.625,4964.326,4931.746,4567.676,4543.218,3068.834,1474.384,0,0,2014.125,1899.246,267.676,-1231.166,2
29,20,0.3,1931.826,240.22,0,0.001,0.001,0.82,48.799,47,113.195,0.95,13.3,1208.803,999.717,0,1432.401,107.535,0.844,0,819.768,887.254,314.805,0,2.958,587.254,7.92,5.823,8.206,47.844,47,0,999.717,999.717,819.768,819.768,0,0,600,0,107.535,107.535,0,0,887.254,887.254,48.799,48.799,47,47,113.195,113.195,0,0,0,6440.559,4964.326,4144.559,inf,4540.22,3107.819,1432.401,0,0,3408.059,1112.059,inf,-1192.181,2
30,21,0,1809.257,240.22,0,12.027,16.023,0.82,48.13,47,33.959,0.95,14,893.951,27.364,600,0,-32.416,0.844,799.293,22.439,879.706,197.819,49.886,2.932,579.706,7.712,5.641,7.994,47.509,47,64.754,27.364,27.364,22.439,22.439,600,600,799.293,799.293,-32.416,-32.416,0,0,879.706,879.706,48.13,48.13,47,47,33.959,33.959,49.886,49.886,49.886,4868.338,4841.757,4819.318,4572.636,4540.22,4501.795,38.425,0,0,1835.838,1786.818,272.636,201.795,2
31,22,0,1919.656,245.379,0,12.027,16.023,0.82,47.509,47,64.754,0.95,15,1048.451,299.215,600,183.078,61.516,0.844,799.293,245.356,876.017,88.99,49.886,2.92,576.017,7.61,5.553,7.891,47.197,47,0,299.215,299.215,245.356,245.356,600,600,799.293,799.293,61.516,61.516,0,0,876.017,876.017,47.509,47.509,47,47,64.754,64.754,49.886,49.886,49.886,7002.8,4952.156,4802.033,inf,4545.379,4362.301,183.078,0,0,3970.3,1769.533,inf,62.301,1
32,23,0,1913.939,287.479,0,12.027,16.023,0.82,47.197,47,0,0.95,16,538.649,2401.732,0,2689.21,0,0.2,0,1969.42,0,34.519,0,2.955,0,7.899,7.899,7.899,47.041,47,0,2401.732,2401.732,1969.42,1969.42,0,0,799.293,0,0,0,0,0,0,0,47.197,47.197,47,47,0,0,0,0,0,5273.019,4946.439,2977.019,inf,4287.479,1598.268,2689.21,0,0,2240.519,-55.481,inf,-2401.732,1
